nom;iso;lits
Hôpital Sarah Vanvranken;CHN;4559
Centre de Recherche Hortensia Puls;CHN;5434
Centre Hospitalier Eduardo Bryant;CHN;9440
Centre Hospitalier Gary Torres;CHN;8890
Institut Patrick Copley;CHN;2764
Centre Hospitalier Rebecca Mease;CHN;8775
Centre Hospitalier Eugene Strozier;CHN;4786
Clinique Mildred Hernandez;CHN;9843
Centre Médical Edgar Tan;CHN;8373
Centre Hospitalier Universitaire Wayne Berry;CHN;1005
Centre Josephine Lovelace;CHN;9447
Centre de Recherche Kathy Watson;CHN;6861
Centre Hospitalier Universitaire Dorothy Seidel;CHN;4211
Centre Médical Donald Calkins;CHN;2851
Centre Hospitalier Universitaire Ruby Weston;CHN;1985
Clinique Billy Dippold;CHN;5315
Institut de Santé Mary Ledford;CHN;6219
Centre de Recherche Carl Dolphin;CHN;3433
Centre Charles Montoney;CHN;2082
Centre Médical Tamika Averill;CHN;5215
Centre Hospitalier Universitaire Allen Kreager;CHN;4020
Centre Betty Allen;CHN;4512
Centre Hospitalier Universitaire Linda Reynozo;CHN;650
Centre Hospitalier Maria Staver;CHN;5428
Hôpital Marie Schaub;CHN;5111
Institut de Santé Ronald Magness;CHN;6139
Hôpital Wilson Owen;CHN;6326
Centre Médical Hugh Ely;CHN;6024
Hôpital Denise Kern;CHN;2394
Hôpital Amber Xu;CHN;2620
Hôpital Eleanor Starner;CHN;8567
Hôpital Alan Ketcham;CHN;2059
Centre Hospitalier Christian Wedekind;CHN;8677
Centre Maria Drost;CHN;6275
Centre Mary Lara;CHN;6197
Centre Hospitalier Universitaire Daryl Whitt;CHN;1699
Centre Hospitalier Mitchell Quintana;CHN;9206
Hôpital Alba Castro;CHN;7455
Institut de Santé David Coplin;CHN;2692
Institut de Santé Max Dixon;CHN;4998
Institut de Santé William Niles;CHN;5115
Institut de Santé Brandon Flikkema;CHN;4311
Clinique Linda Stemen;CHN;8047
Centre Michael Shoopman;CHN;1814
Centre Hospitalier Maria Swithenbank;CHN;5828
Centre de Recherche Theodore Duke;CHN;7192
Centre de Recherche Steve Hansen;CHN;2536
Clinique Amanda Bolden;CHN;6484
Centre de Recherche Jeannette Miramontez;CHN;8864
Hôpital Connie Broderick;CHN;2189
Centre de Recherche Kevin Freeman;CHN;8907
Centre Hospitalier Universitaire Mary Buffington;CHN;8740
Centre Hospitalier Universitaire Katie Mednick;CHN;8996
Institut Stacy Thomas;CHN;6603
Centre de Recherche George Herrin;CHN;1088
Centre Hospitalier Joan Bastida;CHN;3770
Centre Paul Hersey;CHN;792
Clinique Elizabeth Gray;CHN;3105
Centre Doyle Kim;CHN;3833
Centre Hospitalier Universitaire Janna Cabael;CHN;9350
Centre Médical Evelyn Muller;CHN;7544
Hôpital Joseph Delee;CHN;2929
Clinique Iris Bartelt;CHN;854
Institut Erica Richey;CHN;9668
Centre de Recherche Kim Brannon;CHN;3126
Centre Nichole Rodriguez;CHN;8193
Institut de Santé Tameka Moseley;CHN;7638
Institut de Santé Patricia Jackson;CHN;4347
Centre de Recherche Edgar Rider;CHN;8261
Institut de Santé Evelyn Matthew;CHN;1108
Institut Jennifer Fay;CHN;1602
Centre Amanda Sweeney;CHN;4825
Clinique Lynette Rayner;CHN;5079
Centre Médical Lucille Reid;CHN;6982
Centre Wilma Fitzharris;CHN;6545
Centre Cara Knight;CHN;4052
Centre Raymond Meyers;CHN;2882
Hôpital Armando Stearns;CHN;6591
Institut de Santé Roy Clark;CHN;3732
Centre Lucille Barbin;CHN;3323
Centre Hospitalier Cheryl Kurtenbach;CHN;9760
Hôpital Joseph Williams;CHN;2483
Institut Bette Overcash;CHN;3728
Centre de Recherche Alvin Boody;CHN;6781
Centre Médical William Goodwin;CHN;8548
Hôpital Ka McNichol;CHN;8714
Centre de Recherche Zachary Bradley;CHN;7091
Institut de Santé Cecilia Walt;CHN;2812
Institut Eric Kesler;CHN;6607
Centre de Recherche Todd Allen;CHN;4342
Centre Hospitalier Pierre Leatherman;CHN;8454
Clinique Leroy Espinosa;CHN;6393
Centre de Recherche Sarah Cooper;CHN;3901
Institut Brian Ramirez;CHN;6828
Centre Hospitalier Universitaire Mary Garcia;CHN;7822
Centre Hospitalier Universitaire Mary Redding;CHN;8860
Hôpital Mary Johnston;CHN;7125
Centre Hospitalier Universitaire Richard Dubose;CHN;4209
Institut Darren Girard;CHN;2357
Centre Hospitalier Universitaire Edgar Reynolds;CHN;8299
Centre Hospitalier Jessica Barna;CHN;3178
Centre de Recherche Stephen Somers;CHN;8542
Clinique Reginald Eason;CHN;2504
Hôpital Julie Tyler;CHN;4756
Centre Hospitalier Universitaire Greg Connelly;CHN;5134
Centre Hospitalier Universitaire Jennifer Suarez;CHN;8540
Hôpital Steven Park;CHN;3565
Centre Hospitalier Universitaire Lewis Sobkowicz;CHN;3364
Hôpital Rosemary Roman;CHN;5184
Institut de Santé Kandis Moore;CHN;5378
Clinique William Callaghan;CHN;2407
Clinique Sarah Jackson;CHN;8884
Hôpital Terri Fink;CHN;9564
Centre Hospitalier Eva Duncan;CHN;1057
Clinique Alan Curry;CHN;6269
Centre Hospitalier Jan Roseman;CHN;7708
Institut de Santé Andrew Claypool;CHN;7883
Institut Gertrude Franich;CHN;4641
Institut de Santé William Lohman;CHN;9598
Institut de Santé Lloyd McCord;CHN;1538
Centre de Recherche Corey Nelson;CHN;6538
Centre de Recherche Elizabeth Reeder;CHN;4121
Centre Malinda Redmond;CHN;8601
Hôpital Brian Gamble;CHN;2677
Centre Médical Sandy Lemmon;CHN;816
Hôpital Kevin Williams;CHN;6334
Clinique Kelly Clayton;CHN;8904
Centre Hospitalier Universitaire Mark Haley;CHN;4866
Centre Hospitalier Allen Phillips;CHN;4810
Centre George Vogele;CHN;1792
Institut de Santé Martha Gonzalez;CHN;3263
Institut Genevieve Riney;CHN;769
Institut de Santé Mabel Rodriguez;CHN;9332
Clinique David Carman;CHN;7052
Clinique Christeen Lyon;CHN;5872
Clinique Elizabeth Phinn;CHN;3227
Centre Michael Mingo;CHN;3391
Centre Hospitalier Universitaire Mary Hayden;CHN;4016
Centre Médical Angela Tassey;CHN;5817
Centre Médical Guadalupe Nash;CHN;6036
Centre Victor Edwards;CHN;6586
Hôpital Carol Aguirre;CHN;8650
Centre Hospitalier Universitaire Sean Macy;CHN;5470
Centre Hospitalier Universitaire Salvatore Valdes;CHN;5562
Centre de Recherche Carolynn Jones;CHN;3420
Hôpital Larae Liu;CHN;4085
Centre Médical Sang Harrell;CHN;9690
Clinique Joseph Maldonado;CHN;6999
Centre de Recherche Rebecca Grady;CHN;2153
Centre de Recherche Cristina Osborne;CHN;1735
Institut Lisa Cline;CHN;2278
Centre de Recherche Jerry Reeves;CHN;3522
Institut de Santé Vicky Hanson;CHN;7223
Institut de Santé Wesley Binner;CHN;8816
Institut de Santé Betty Johnson;CHN;8628
Clinique Mark Yoder;CHN;6989
Institut Jesse Cerda;CHN;7181
Institut Vivian Feist;CHN;7935
Centre Hospitalier Mary Barnwell;CHN;6154
Centre Médical Michael Maguire;CHN;6819
Institut de Santé Tracy Sakamoto;CHN;8867
Institut Reginald Tabolt;CHN;4302
Centre Hospitalier Henry Garst;CHN;6085
Institut de Santé Mary Gillaspie;CHN;8388
Centre Hospitalier Irene Matusow;CHN;8738
Centre Médical Bernard Whapham;CHN;2719
Centre de Recherche Michelle Corbin;CHN;9414
Centre Walter Hollis;CHN;5913
Centre de Recherche Laurie Jiminez;CHN;3446
Centre Médical Sammy Donnelly;CHN;3947
Centre Hospitalier Marvin Trujillo;CHN;6274
Centre Matthew Davis;CHN;8683
Centre de Recherche Judith Schnepp;CHN;6382
Centre Hospitalier Michael Gallagher;CHN;4716
Institut Charlie Wall;CHN;1840
Centre Médical Lance Schalow;CHN;2864
Institut de Santé Scott Franck;CHN;3794
Centre de Recherche Kiana Gravelle;CHN;8496
Clinique Robert Musick;CHN;3097
Centre Sarina McKnight;CHN;8051
Centre Sara Butch;CHN;5624
Centre Keith Blum;CHN;5704
Centre de Recherche Fred White;CHN;1716
Centre Hospitalier Universitaire Fernando Routh;CHN;5189
Centre de Recherche Billy Pavlak;CHN;628
Centre David Gelb;CHN;8024
Clinique Kim Dias;CHN;9817
Institut Angle Muse;CHN;2086
Centre Médical Nancy Davis;CHN;9516
Institut Cindy Tang;CHN;2710
Centre de Recherche Willie Roberson;CHN;1849
Centre de Recherche Kenneth Maxon;CHN;6497
Centre de Recherche Donna Chrystal;CHN;1803
Centre de Recherche Will Bennett;CHN;6568
Centre Paul Sylvester;CHN;7892
Centre de Recherche Jarrod Kanazawa;CHN;2476
Centre Dorothy Rivera;CHN;5936
Institut de Santé Norma Vargas;CHN;8130
Centre Hospitalier Candice Mount;CHN;7014
Centre Lee Vasquez;CHN;9503
Clinique Royce Houser;CHN;2767
Institut de Santé Rebecca Oquinn;CHN;8512
Institut de Santé Helen Phillips;CHN;1718
Institut de Santé Michael Palmer;CHN;3263
Centre Médical Angela Brown;CHN;8449
Centre Dane Hartill;CHN;7128
Institut Luis Fernandez;CHN;4952
Centre Amy Carr;CHN;597
Centre Hospitalier Universitaire Beulah Neuman;CHN;5484
Centre de Recherche Stanley Rojo;CHN;2365
Centre Hospitalier Universitaire Marjorie Ramos;CHN;3008
Centre de Recherche Aaron Shannon;CHN;7422
Centre Hospitalier Vanessa Stoermer;CHN;6474
Centre de Recherche Nathan Hager;CHN;6436
Institut de Santé Kelly Swartwood;CHN;4484
Centre Margaret Jones;CHN;2711
Centre de Recherche Harrison Sikes;CHN;2665
Hôpital Arlene Dixon;CHN;3490
Institut de Santé Brian Roberts;CHN;1894
Centre Gertrude Gormly;CHN;2175
Centre Hospitalier Universitaire Tonia Steeples;CHN;3877
Centre Hospitalier Samuel Hurd;CHN;9253
Centre de Recherche Jessie Elliott;CHN;6514
Hôpital Barbara Herrera;CHN;9003
Centre de Recherche Jon Cadwell;CHN;4896
Institut de Santé Marshall McLean;CHN;9830
Hôpital Melissa Davis;CHN;9301
Centre de Recherche Scott Krejci;CHN;4723
Centre Médical William Strama;CHN;532
Centre Hospitalier Jennifer Hardeman;CHN;4733
Centre Hospitalier Universitaire Maxine Lipscomb;CHN;3501
Centre Carl Sanchez;CHN;2918
Centre Médical Elizabeth Collins;CHN;7660
Centre Ralph Mok;CHN;5051
Centre Hospitalier Bettye Berkner;CHN;7754
Centre de Recherche Edna Sisk;CHN;3706
Centre Madeline Chavez;CHN;3427
Centre James Turner;CHN;626
Centre Adam Stevens;CHN;7317
Centre Médical Damien Greene;CHN;5321
Institut de Santé Shirley Head;CHN;6128
Centre Louise Tavares;CHN;8733
Centre Heather Moody;CHN;9361
Centre Médical Delores Collins;CHN;7346
Centre Médical Santa Kurkiewicz;CHN;6618
Centre Médical Harold Ramirez;CHN;2567
Centre Hospitalier Keith Martin;CHN;9272
Centre Hospitalier Universitaire Amy Salinas;CHN;628
Institut Margaret Calderon;CHN;8192
Institut Jose Barcia;CHN;8850
Institut de Santé Talia Hutchinson;CHN;6424
Institut de Santé William White;CHN;6410
Centre Diane Williams;CHN;3376
Centre Hospitalier Universitaire Edwin Binion;CHN;2089
Institut de Santé Christopher Wells;CHN;2890
Centre de Recherche Bruce Moorefield;CHN;2317
Clinique Katherine Blocker;CHN;4108
Centre Hospitalier Pam Alferes;CHN;6353
Centre Médical Timothy Hofferber;CHN;6104
Centre de Recherche Patrick Callens;CHN;7063
Institut de Santé Stuart Weiss;CHN;2057
Centre Louise Powers;CHN;560
Centre de Recherche Olga Little;CHN;1935
Centre de Recherche Marie Valerio;CHN;9817
Centre Christina Lincoln;CHN;6951
Centre Debra James;CHN;7528
Hôpital Kenneth Ellis;CHN;6746
Institut de Santé Brenton Langsdale;CHN;4630
Centre de Recherche Kirk Gault;CHN;5567
Clinique Kathryn Killgore;CHN;4368
Centre Jason Rivas;CHN;1140
Centre Jeffrey Morgan;CHN;9223
Clinique Jana Sutton;CHN;5716
Centre de Recherche Dorothy Park;CHN;8762
Hôpital Warren Salinas;CHN;7617
Centre de Recherche Thomas Tegeler;CHN;744
Institut de Santé Phillip Ramey;CHN;9458
Institut de Santé Melissa Meath;CHN;3711
Centre de Recherche Thomas Valles;CHN;7107
Clinique Joy Littlejohn;CHN;1742
Centre Hospitalier Universitaire Andrea Zion;CHN;5917
Centre de Recherche Robert Tennie;CHN;9590
Hôpital Rema Huntoon;CHN;3458
Centre Cameron Dickey;CHN;1322
Clinique George Wilkinson;CHN;10000
Clinique Betty Daugherty;CHN;6656
Centre de Recherche Jessie Tevebaugh;CHN;5811
Clinique Thomas Panke;CHN;8002
Centre William Stillwell;CHN;3103
Centre Hospitalier Universitaire Theresa Abbatiello;CHN;2249
Centre Jonathan Yelland;CHN;9895
Institut Barbara Begum;CHN;5871
Centre Hospitalier Jessica Terry;CHN;3952
Centre Hospitalier Universitaire Marlene Durham;CHN;7621
Centre Hospitalier Universitaire Ethel Kime;CHN;6905
Institut de Santé Kimberly Eischens;CHN;6417
Centre de Recherche Wanda Anderson;CHN;4539
Institut Colleen Benning;CHN;4541
Clinique Erin Brown;CHN;7724
Centre Daniel Howard;CHN;8162
Centre Hospitalier Universitaire Bryce Hardine;CHN;8456
Hôpital Shandi Sierra;CHN;5614
Institut Brian Gilge;CHN;9339
Centre Hospitalier Ramona Esquibel;CHN;7565
Clinique Tammy Tackett;CHN;2881
Hôpital Charles Hughes;CHN;1875
Clinique Jody Bedonie;CHN;6548
Centre de Recherche Lillian Oswald;CHN;6418
Institut Ofelia Avila;CHN;9983
Centre de Recherche Curtis Coulter;CHN;8509
Institut de Santé Shelley Andrews;CHN;2272
Institut Henry Cox;CHN;7125
Centre Hospitalier Universitaire Patrick Halperin;CHN;1122
Centre Médical Joyce Shafer;CHN;7109
Clinique Luis Otero;CHN;9273
Centre Hospitalier Universitaire Bruce Acre;CHN;1471
Centre Hospitalier Elena Ardoin;CHN;4355
Centre Joyce Beck;CHN;4420
Hôpital Pauline Steger;CHN;6713
Centre Vicki Culpepper;CHN;4661
Hôpital Carol Olin;CHN;5077
Centre Hospitalier John Ortega;CHN;2992
Centre Michael Sebastian;CHN;584
Centre de Recherche Raquel Miyagi;CHN;2830
Institut de Santé John Bryan;CHN;2996
Clinique Luis Moore;CHN;6737
Institut de Santé Geneva Turton;CHN;2265
Centre Hospitalier Ashleigh Fett;CHN;9577
Centre Médical Dina Hall;CHN;2316
Centre Steven Peterson;CHN;970
Centre de Recherche Margaret Isbell;CHN;1454
Centre Hospitalier Jerome Dryden;CHN;1313
Hôpital Flora Cwynar;CHN;6665
Institut de Santé Stephen Gozun;CHN;4086
Clinique Maria Hunter;CHN;2248
Institut Hazel Hedrick;CHN;2660
Centre Johnnie McGowan;CHN;7159
Centre de Recherche Troy Toatley;CHN;2065
Centre de Recherche James O'Donnell;CHN;9509
Institut de Santé Felicita Wood;CHN;9280
Institut de Santé Francisco Alarcon;CHN;2263
Hôpital James Beasley;CHN;771
Centre Médical Louis Sharpe;CHN;4429
Centre Médical Buck James;CHN;7909
Centre Ivan Buchholtz;CHN;8284
Hôpital Angelia Boyd;CHN;5561
Centre Genevieve Elias;CHN;3594
Centre Hospitalier Robert White;CHN;6949
Centre de Recherche Norman Craver;CHN;3686
Centre Sherry Boyett;CHN;6009
Hôpital Carolyn Hibbitts;CHN;9916
Institut de Santé Lawrence Ericksen;CHN;910
Centre Hospitalier Lois Hannah;CHN;5257
Institut de Santé Denise Lesley;CHN;1623
Centre Hospitalier Universitaire William Fleetwood;CHN;935
Hôpital Frances Patterson;CHN;8506
Centre Jestine Kintner;CHN;5534
Clinique Crystal Mosher;CHN;5221
Centre Donald Lawry;CHN;9496
Institut de Santé Rudy Scott;CHN;6103
Centre Hospitalier David Stillion;CHN;5805
Institut Sarah Proveaux;CHN;3991
Centre Hospitalier Universitaire Ruthie Hill;CHN;7845
Centre de Recherche Deborah Schafer;CHN;2124
Institut de Santé Thomas Morales;CHN;6809
Institut Carmen Morales;CHN;9964
Centre Kim Emerson;CHN;7711
Institut Tracy Horst;CHN;5179
Centre Hospitalier Universitaire Eric Fernald;CHN;887
Institut Janelle Nava;CHN;5170
Centre de Recherche Sandra Dyer;CHN;526
Centre Hospitalier Universitaire Alexander Adams;CHN;2940
Centre de Recherche Helen Gilliam;CHN;948
Centre de Recherche Thomas Kufta;CHN;2804
Hôpital Madeline Carawan;CHN;9950
Centre de Recherche Roberto Sauls;CHN;9472
Centre de Recherche Carrie Ferrera;CHN;8807
Centre Hospitalier Universitaire Charles Neal;CHN;4154
Centre Hospitalier Russell Giblin;CHN;632
Centre Hospitalier Kristy Hernandez;CHN;6158
Clinique David Leblanc;CHN;6759
Centre Hospitalier Susanne Peirce;CHN;4190
Centre Barbara Miller;CHN;6406
Institut de Santé Mary Salerno;CHN;3539
Centre Sadie Mingus;CHN;9258
Institut Hazel Boyd;CHN;2684
Institut Christopher Towns;CHN;3751
Centre de Recherche Paul Serrano;CHN;9633
Centre Hospitalier Universitaire Donald Samuels;CHN;5558
Clinique Marni Crowe;CHN;2079
Centre Jeremy Clay;CHN;1406
Centre de Recherche Daniel Schutt;CHN;1283
Centre Médical Kenya Jefferson;CHN;2584
Centre Patricia Martin;CHN;8854
Institut de Santé Carol Czartoryski;CHN;6432
Hôpital Debra Epperson;CHN;8337
Centre Hospitalier Universitaire Margaret Romero;CHN;2481
Centre Hospitalier David Castro;CHN;4494
Institut de Santé Laura Clarkin;CHN;1068
Clinique Karl Coleman;CHN;3597
Institut Dan Wood;CHN;3573
Centre Hospitalier Derick Islas;CHN;5074
Centre Médical Samuel Soltwedel;CHN;8543
Centre Hospitalier Universitaire Jerry Geiger;CHN;547
Centre de Recherche Nancy Darwish;CHN;1531
Hôpital Kenneth Alvarez;CHN;7748
Centre Fay Morring;CHN;3014
Centre Hospitalier Universitaire Candice Magat;CHN;7528
Centre Rita Connors;CHN;7217
Hôpital Edward Hagewood;CHN;3288
Hôpital Guillermo Arkus;CHN;2303
Institut de Santé Fred Amante;CHN;8385
Clinique James Osborne;CHN;9515
Hôpital Christopher Moore;CHN;6783
Centre Médical Elmer Poindexter;CHN;1528
Centre Médical Craig Brown;CHN;1569
Centre Médical Michelle Durand;CHN;7082
Centre Médical Grady Jackson;CHN;9332
Institut Adam Valenzuela;CHN;829
Centre Hospitalier Riley Moyer;CHN;2918
Centre de Recherche Robert Taylor;CHN;3546
Centre Gloria Roos;CHN;6935
Centre Harold Veach;CHN;4656
Centre Hospitalier Robert Waldemar;CHN;8682
Centre Hospitalier Shyla McCarty;CHN;4693
Clinique Raymond Harris;CHN;1040
Centre de Recherche Lyman Vega;CHN;1223
Centre de Recherche Millard Wilder;CHN;8733
Centre Manuel Govert;CHN;5800
Centre de Recherche Tony Humphrey;CHN;7277
Institut de Santé Jessica Imai;CHN;2785
Centre de Recherche Carolyn Muns;CHN;4848
Centre Hospitalier Universitaire Nancy Pena;CHN;3108
Clinique Duane Smallwood;CHN;4428
Institut de Santé Deborah Atkins;CHN;2867
Centre Mary Berger;CHN;2443
Hôpital Matthew Dezeeuw;CHN;6397
Centre Paul Ledwith;CHN;1345
Clinique Lucille Gilpin;CHN;6820
Hôpital Kimi Gilsinger;CHN;4009
Institut Wanda Lebow;CHN;1619
Centre de Recherche Laura Hernandez;CHN;8837
Centre Victor Mol;CHN;6242
Centre de Recherche Adam Gibbons;CHN;8033
Centre Hospitalier Richard Matthews;CHN;8807
Centre Donald Walters;CHN;3326
Centre Médical Laura Bolden;CHN;5089
Centre Hospitalier Universitaire Tory Collinsworth;CHN;7228
Centre Médical Wesley Rollins;CHN;4730
Centre de Recherche Donald Souter;CHN;2059
Centre de Recherche Albert Knott;CHN;6958
Institut de Santé Adam Allman;CHN;2726
Centre Médical Jessica Neidhardt;CHN;5688
Centre de Recherche Donna Bonin;CHN;3788
Centre Hospitalier Terry Walker;CHN;830
Centre Julio Spears;CHN;5090
Centre Hospitalier Universitaire Lucy McCawley;CHN;6382
Centre Hospitalier Universitaire Diane Gray;CHN;5096
Centre de Recherche Claudette Vines;CHN;572
Centre Catherine Jett;CHN;810
Hôpital Steven Norris;CHN;7233
Hôpital Adolph Cotten;CHN;1055
Hôpital Lillie Trotter;CHN;963
Centre Herbert Kelly;CHN;3029
Institut de Santé Candelaria Burkholder;CHN;2784
Clinique James Fasanella;CHN;9202
Institut de Santé Laura Cisneros;CHN;7303
Institut Donna Neal;CHN;4019
Clinique Joanne Ferguson;CHN;8659
Hôpital Irene Desrochers;CHN;917
Centre Médical Rogelio Bodin;CHN;9803
Centre Hospitalier Universitaire Dorothy Kearns;CHN;2221
Centre Hospitalier Ralph Winnett;CHN;8383
Centre Hospitalier Diann Kohutek;CHN;619
Centre Hospitalier Lauren Knight;CHN;3277
Hôpital Sandra Fisher;CHN;1317
Centre Médical Michelle Decicco;CHN;3576
Clinique Carolina Kulp;CHN;6638
Centre Hospitalier Universitaire Deborah Pronovost;CHN;5636
Centre Hospitalier Universitaire Ivette Stoller;CHN;5739
Centre de Recherche Randy Kos;CHN;6434
Clinique Kristin Young;CHN;7895
Centre de Recherche Grant Hacker;CHN;2310
Institut Anne Whiting;CHN;9924
Institut Michael Gibbons;CHN;7574
Institut de Santé Sam Mague;CHN;1295
Centre Hospitalier Jeffrey Rensvold;CHN;9584
Centre Hospitalier Joseph Santiago;CHN;4516
Clinique Debra Scott;CHN;9018
Centre Hospitalier Jacqueline Gonzalez;CHN;9804
Centre Hospitalier Lindsay Simmons;CHN;7878
Centre Hospitalier Larry Rigdon;CHN;3488
Institut de Santé Minnie Garcia;CHN;2490
Centre Hospitalier Universitaire Amanda Camporeale;CHN;7167
Hôpital Cheryl Gossett;CHN;4464
Centre Hospitalier Universitaire Janelle Thompson;CHN;1154
Centre de Recherche Tonie Garfield;CHN;8986
Centre Hospitalier Florence Hilyard;CHN;1212
Clinique Maria Taylor;CHN;2635
Centre de Recherche Jerry Donaldson;CHN;2045
Clinique Mary Lasyone;CHN;1759
Hôpital Jesus Tamburino;CHN;3688
Centre Hospitalier Universitaire Karen Montes;CHN;2390
Clinique Andrew Miller;CHN;6405
Centre Médical Roberta Lecomte;CHN;7823
Centre de Recherche Kevin Simpson;CHN;4212
Centre de Recherche Maude Haymans;CHN;3388
Centre Hospitalier Carolyn Yao;CHN;1203
Institut Mona Greenough;CHN;1442
Centre Hospitalier Universitaire Michael Giugliano;CHN;5017
Institut Gary Jones;CHN;3125
Institut Janet Pyle;CHN;5696
Centre de Recherche Theodore Totman;CHN;5059
Hôpital Maria Siniard;CHN;2129
Centre Lynn Smith;CHN;5207
Clinique James Shadrix;CHN;4319
Centre Hospitalier Lynn Burgess;CHN;2614
Institut Jamie Poston;CHN;8332
Hôpital Carol Flores;CHN;629
Centre Hospitalier Latisha Myers;CHN;9835
Centre de Recherche Bobby Carta;CHN;7282
Clinique Marg Keemer;CHN;843
Hôpital Ruby Narvaez;CHN;584
Centre Hospitalier Universitaire Cameron Miller;CHN;4640
Institut de Santé Robert Fox;CHN;8050
Clinique Stephen Adams;CHN;3941
Institut de Santé Janice Chalmers;CHN;5943
Centre Hospitalier Kenneth Waters;CHN;3222
Centre Hospitalier Barbara Gerlach;CHN;7935
Centre de Recherche Anna Leyman;CHN;1089
Centre Hospitalier Anita Lamkin;CHN;5711
Institut Angela Ryan;CHN;9421
Centre de Recherche Danielle Allen;CHN;8096
Centre de Recherche Michael Cordova;CHN;9424
Hôpital Edward Hamilton;CHN;3536
Hôpital Louisa Quezada;CHN;5042
Centre Hospitalier Universitaire Catherine Willingham;CHN;7164
Centre Audrey Phillips;CHN;9786
Clinique Alberta Hardt;CHN;552
Hôpital Ashley Crosthwaite;CHN;6997
Institut de Santé Lai Ronan;CHN;9804
Clinique Barbara Lee;CHN;3093
Hôpital Frank Nicholson;CHN;3710
Centre de Recherche Helen Weitzel;CHN;6247
Centre Hospitalier Universitaire Mark Albritton;CHN;5471
Centre Hospitalier Universitaire Saul O'Neill;CHN;6025
Centre Louise Gross;CHN;4180
Centre de Recherche Marian Pistorio;CHN;5568
Centre Hospitalier Universitaire Claire Barbosa;CHN;1051
Centre Hospitalier Universitaire Ann Effertz;CHN;5651
Centre Médical Timothy Difiore;CHN;4724
Clinique Margaret Jenkins;CHN;4234
Centre Terica King;CHN;4021
Centre Hospitalier Universitaire Paul Weigand;CHN;6568
Centre Médical Thomas Schultz;CHN;1820
Centre de Recherche Jerry Cook;CHN;8955
Centre Rebecca Hammond;CHN;2243
Centre Médical Michael Mase;CHN;7393
Hôpital Mark Villarreal;CHN;6845
Centre Médical Elizabeth Patten;CHN;4586
Hôpital David Dent;CHN;8740
Centre Phyllis Newall;CHN;1106
Centre Nellie Duncan;CHN;7784
Centre Ronald Sours;CHN;4793
Centre Hospitalier Brian Jennings;CHN;5548
Centre Hospitalier Universitaire Cindy Beck;CHN;1237
Institut de Santé Jackie Wingate;CHN;4577
Hôpital Reina Sanchez;CHN;2380
Centre Patricia Sanchez;CHN;679
Centre Rose Neira;CHN;2982
Centre Médical Stephen Bernard;CHN;6001
Institut David Caudill;CHN;1966
Centre Médical Stella Qasem;CHN;1979
Hôpital Belinda Carroll;CHN;3031
Institut de Santé George Shone;CHN;7312
Centre Craig Beardsworth;CHN;9220
Clinique Cassandra Lowry;CHN;7139
Centre Hospitalier Universitaire Sean McDonald;CHN;7961
Centre de Recherche James Ibarra;CHN;6628
Centre Gloria Cirillo;CHN;2815
Centre Chana Wedeking;CHN;6098
Centre Hospitalier Flossie Tuer;CHN;7317
Hôpital Ted Briz;CHN;7674
Centre Kelly Combs;CHN;7598
Hôpital Cheryl Shaw;CHN;2501
Centre Hospitalier Universitaire Jeffrey Gicker;CHN;2362
Centre de Recherche Tony Yong;CHN;7535
Centre Médical Benjamin Johnson;CHN;5034
Centre de Recherche Teresa Heil;CHN;5367
Centre Médical Fred Hochstetler;CHN;3155
Institut de Santé Rebecca Aldridge;CHN;1725
Clinique Mary Nunez;CHN;3675
Institut de Santé Daren Harkleroad;CHN;7096
Centre de Recherche Tawanna Rikkers;CHN;2343
Centre Hospitalier Judith Wofford;CHN;1933
Institut de Santé Jimmy Preston;CHN;609
Institut de Santé Chung McMillin;CHN;5872
Clinique Ellen Mondragon;CHN;2044
Hôpital Mary Bechtol;CHN;6128
Clinique Marcia Powell;CHN;8264
Centre de Recherche Paul Tobler;CHN;5310
Institut de Santé Thomas Jones;CHN;2388
Centre Médical Theodore Vasquez;CHN;9698
Institut Kathryn Scarborough;CHN;9273
Clinique Anthony Conditt;CHN;1043
Centre Médical Wendy Ostrander;CHN;5370
Centre Médical Mary McDonald;CHN;7909
Hôpital Mattie Osborn;CHN;8599
Centre de Recherche Sabina Kotas;CHN;6227
Centre Médical Audrey Siewert;CHN;8589
Hôpital David Trevino;CHN;7467
Institut de Santé Nicole Johansen;CHN;5593
Centre Médical John McKeever;CHN;1886
Centre Jason Breska;CHN;5868
Clinique Beatrice Cable;CHN;6612
Centre Hospitalier Lee Moore;CHN;1471
Centre Kimberly Buck;CHN;8160
Institut Lona Ervin;CHN;7612
Centre John Manchester;CHN;4465
Centre Christopher Weinstein;CHN;8968
Centre Theresa Evans;CHN;4175
Centre de Recherche Crystal Smith;CHN;5329
Institut Robert Evans;CHN;3143
Institut de Santé Rachel Shuman;CHN;9528
Institut de Santé Renee Russell;CHN;2111
Centre Hospitalier Universitaire Patricia Brandt;CHN;963
Centre de Recherche Margaret Zadra;CHN;7493
Centre Médical Sonya Otero;CHN;9279
Institut de Santé Charles Carter;CHN;4527
Clinique Lauren Arvizu;CHN;8938
Centre de Recherche Robert Hunter;CHN;7053
Centre Linda Maginot;CHN;2221
Institut de Santé Lewis Beeson;CHN;4316
Centre Médical Loreen Davis;CHN;4100
Clinique Kris Cheeks;CHN;3733
